Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
Abdallah R.; Besancenot J.; Bertelle C.; Duvallet C.; Gilletta F.,"Abdallah, Rim (58115898400); Besancenot, Jérôme (58115518200); Bertelle, Cyrille (24279567300); Duvallet, Claude (13807954600); Gilletta, Frédéric (58115518300)",58115898400; 58115518200; 24279567300; 13807954600; 58115518300,An Extensive Preliminary Blockchain Survey from a Maritime Perspective †,2023,Smart Cities,7,10.3390/smartcities6020041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152802780&doi=10.3390%2fsmartcities6020041&partnerID=40&md5=6c3abe53bf0675e6b3a98c2dddec5b39,"The maritime industry is moving towards a digital ecosystem to achieve substantial mutual profits. To achieve this, there have been attempts to combine existing, disjointed systems into more efficient, standardized platforms that can be scaled up. However, this transition has faced challenges. To address these issues, it is suggested that innovative technologies such as blockchain be utilized due to their alignment with the sector’s needs. This study uses a triangulation approach by examining a mix of literature, web-based data, applications, and projects to showcase the contribution of blockchain and its potential use cases. We also explore its potential use cases based on other sectors using projection and parallelism. Additionally, the study delves into limitations and possible solutions. This research acts as a preliminary study for the implementation of blockchain in the maritime industry, and advocates for its use as a revolutionary approach. The findings will be beneficial for scholars, policy makers, and practitioners in the maritime industry. © 2023 by the authors.",blockchain; connected ports; decentralized technologies; maritime sector; shipping industry; smart port,,Haropa Port,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85152802780
Abdallah R.; Besancenot J.; Bertelle C.; Duvallet C.; Gilletta F.,"Abdallah, Rim (58115898400); Besancenot, Jérôme (58115518200); Bertelle, Cyrille (24279567300); Duvallet, Claude (13807954600); Gilletta, Frédéric (58115518300)",58115898400; 58115518200; 24279567300; 13807954600; 58115518300,Assessing Blockchain Challenges in the Maritime Sector,2023,Lecture Notes in Networks and Systems,2,10.1007/978-3-031-21229-1_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148724786&doi=10.1007%2f978-3-031-21229-1_2&partnerID=40&md5=b649632bd102cb3ab59fba421206607d,"The maritime sector is the main contributor to global trade but has generally been weakened by its composite anatomy, miscellaneous information sources and systems, and dispersed processes. In this regard, the innovative blockchain technology, characterized by its distinctive features: distribution, immutability, and transparency, promotes great transformative possibilities for the sector. And blockchain applications, use cases, and pilot projects are increasingly emerging in the industry. However, not all applications were successful. And mass adoption of the technology that allows unlocking its full potential in the sector is still in its infancy. This article highlight blockchain’s contribution to the maritime sector and list its applications anchoring literary recommendations for technological advancements in the maritime sector. Second, we unravel the reason that halted Blockchain advancement in the industry and its widespread adoption. Furthermore, we categorize those reasons into challenges, assess them and provide possible solutions. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Blockchain; Maritime sector; Shipping; Smart port,,,Conference paper,Final,,Scopus,2-s2.0-85148724786
Abdul Rahman A.; Hassan M.I.; Musliman I.A.; Rashidan H.; Mutiarasari W.M.; Zamzuri A.; Buyuksalih G.; Gazioglu C.; Bayirhan I.,"Abdul Rahman, A. (57193422680); Hassan, M.I. (57191830606); Musliman, I.A. (55780272000); Rashidan, H. (57201375765); Mutiarasari, W.M. (58114580000); Zamzuri, A. (57930147200); Buyuksalih, G. (55892620000); Gazioglu, C. (56124198000); Bayirhan, I. (57216618030)",57193422680; 57191830606; 55780272000; 57201375765; 58114580000; 57930147200; 55892620000; 56124198000; 57216618030,3D LAND-MARINE PROPERTIES ADMINISTRATION IN THE CONTEXT OF SEA LEVEL RISE (SLR) – ISSUES & CHALLENGES,2024,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",0,10.5194/isprs-archives-XLVIII-4-W9-2024-1-2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187785542&doi=10.5194%2fisprs-archives-XLVIII-4-W9-2024-1-2024&partnerID=40&md5=55b892d351b9908b03bcbf9ad0130787,"The current scenario of understanding spatial objects with regards to land and marine environment seems lacking. Inevitably, the scenario in line with the global warming issues as being highly mentioned by world-bodies such as the United Nations (UN) on climate change, etc. Recently the statistics on earth surface temperature point towards high record temperatures that lead to sea-level rise and degradation of land surface area, in general. These situations caused other spatial objects (land and marine properties) to be affected by their physical properties’ changes (including geometries and locations). Thus, this paper attempts to review various aspects related to digital twins of land and marine spatial objects with respect to issues and challenges of multiple data acquisition techniques considering accuracy, data standard, seamless and integrated georeferenced data within the scenario as being reported in the 6th IPCC document. The situation warrants us to explore different types of land and marine properties (static and dynamic) where static properties are defined as immovable objects and vice versa for the dynamic environment. This paper also discusses on a brief experiment utilizing MERIT DEM (Multi-Error-Removed Improved-Terrain Digital Elevation Model), existing building footprints, simulated bathymetry, and land use datasets. The experiment reveals the prediction of the sea level rise according to the IPCC report. The gist of this paper to serve a motivation for our near-future research in the context of geospatial components and sea level rise (SLR). © Author(s) 2024.",3D land and marine data; 3D visualization; Climate Change; data fusion; DEM; digital twin; Global Warming; LADM edition II; Land Use/Cover; SLR,Data acquisition; Data fusion; Data visualization; Earth (planet); Land use; Sea level; Surveying; Three dimensional computer graphics; 'current; 3d land and marine data; 3D Visualization; DEM; LADM edition II; Land environments; Land use/cover; Property; Sea level rise; Spatial objects; Global warming,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85187785542
Abhilash P.M.; Boban J.; Ahmed A.; Luo X.,"Abhilash, P.M. (57217707018); Boban, Jibin (57205734369); Ahmed, Afzaal (55448610800); Luo, Xichun (8974167900)",57217707018; 57205734369; 55448610800; 8974167900,Digital twin-driven additive manufacturing: Advancements and future prospects,2023,Hybrid Metal Additive Manufacturing: Technology and Applications,1,10.1201/9781003406488-12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176877863&doi=10.1201%2f9781003406488-12&partnerID=40&md5=41fce2c6ad39acebb5a35200f8056a1a,"A digital twin (DT) is a virtual replica of a physical system with two-way data communication between the cyber and physical domains. It is an innovative concept in smart manufacturing, envisioning improved efficiency, productivity, flexibility and quality control through real-time data-driven and collaborative digital systems. DT systems are enabled through technologies such as artificial intelligence (AI), human-machine interface (HMI), simulation models, augmented reality and virtual reality, online sensing, big data analytics and the Internet of Things (IoT). Additive manufacturing (AM) is a fast-growing and revolutionary technology with immense applications in aerospace, biomedical, automobile and marine applications. Some of the fundamental challenges of AM processes are part irregularities, indispensable post-processing, unanticipated process anomalies, design and metrology disintegration and a lack of standardization. Currently, considerable time and cost are being devoted to offline metrology, defect identification and process optimization. DT-driven AM is still in its nascent stage; however, the technology has demonstrated its immense potential to transform the emerging world of AM. A DT system looks to systematically address these fundamental shortcomings through computational intelligence and real-time data communication. Key application domains include anomaly detection, online condition monitoring, feed-forward process control, intelligent post-processing and process optimization. The chapter critically analyses the current state-of-the-art of DTs in AM processes and further discusses their future prospects and research directions. The chapter highlights the capacity of a DT to broaden the acceptability of AM in various industrial applications by improving robustness and efficiency. © 2024 selection and editorial matter, Parnika Shrivastava, Anil Dhanola, and Kishor Kumar Gajrani individual chapters.",,,,Book chapter,Final,,Scopus,2-s2.0-85176877863
Abramowicz-Gerigk T.; Hejmlich A.; Randak M.,"Abramowicz-Gerigk, T. (23484234200); Hejmlich, A. (57204709185); Randak, M. (58704521400)",23484234200; 57204709185; 58704521400,Risk Assessment of Port Manoeuvres of a Chemical Tanker Vessel,2023,TransNav,0,10.12716/1001.17.04.08,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177433640&doi=10.12716%2f1001.17.04.08&partnerID=40&md5=64cd4f0c88e6a80fec6db6808a6c953d,"The development of smart port systems and autonomous navigation is related to the growing interest in the systemic approach to risk assessment of port operations especially for the vessels transporting dangerous cargo. The paper presents the general risk model of port manoeuvres of a chemical tanker vessel. The risk model is based on Bayesian influence diagram allowing to determine the risk dependent on the decisions made with respect to the applied safety options. The conclusions are based on real life near miss examples and discussion of experienced Ship Masters. © 2023, Faculty of Navigation, Gdynia Maritime University. All rights reserved.",Bayesian Influence Diagram; Bayesian Risk Prediction; Chemical Tanker; Dangerous Goods Transport; Deck Operations; Emrgency Procedures; Maritime Human Factors; Port Maneuvres,,"Uniwersytet Morski w Gdyni, UMG, (WN/2023/PZ/03)",Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85177433640
"Abu Bakar, NN; Guerrero, JM; Vasquez, JC; Bazmohammadi, N; Yu, Y; Abusorrah, A; Al-Turki, YA","Abu Bakar, Nur Najihah; Guerrero, Josep M.; Vasquez, Juan C.; Bazmohammadi, Najmeh; Yu, Yun; Abusorrah, Abdullah; Al-Turki, Yusuf A.",,A Review of the Conceptualization and Operational Management of Seaport Microgrids on the Shore and Seaside,2021,ENERGIES,132,10.3390/en14237941,View Full Record in Web of Science,"Seaports are well known as the medium that has evolved into the central link between sea and land for complex marine activities. The growth in maritime logistics particularly necessitates a large volume of energy supply in order to maintain the operation of sea trade, resulting in an imbalance between generation and demand sides. Future projections for three major concerns show an increase in load demand, cost of operation, and environmental issues. In order to overcome these problems, integrating microgrids as an innovative technology in the seaport power system appears to be a vital strategy. It is believed that microgrids enhance seaport operation by providing sustainable, environmentally friendly, and cost-effective energy. Although microgrids are well established and widely used in a variety of operations on land, their incorporation into the seaport is still limited. The involvement of a variety of heavy loads such as all-electric ships, cranes, cold ironing, and buildings infrastructure renders it a complicated arrangement task in several aspects, which necessitates further research and leaves space for improvement. In this paper, an overview of the seaport microgrids in terms of their concepts and operation management is presented. It provides the perspectives for integrating the microgrid concept into a seaport from both shore side and seaside as a smart initiative for the green port's vision. Future research directions are discussed towards the development of a more efficient marine power system.",cold ironing; electrification; operation management; renewable energy source; seaport microgrids; shipboard microgrid; maritime,ENERGY MANAGEMENT; DEMAND RESPONSE; AC-MICROGRIDS; POWER; SHIP; CHALLENGES; SYSTEM; TECHNOLOGIES; ELECTRICITY; STRATEGIES,"Villum Investigator grant from The Villum Fonden [25920]; Deanship of Scientific Research (DSR) at King Abdulaziz University, Jeddah, Saudi Arabia [RG-49-135-40]",Review,,,,
Agis J.J.G.; Brett P.O.; Erikstad S.O.; Gaspar H.M.,"Agis, Jose Jorge Garcia (57191035995); Brett, Per Olaf (56594596100); Erikstad, Stein Ove (6507680536); Gaspar, Henrique M. (55507551400)",57191035995; 56594596100; 6507680536; 55507551400,RESHAPING DIGITAL TWIN TECHNOLOGY DEVELOPMENT FOR ENHANCING MARINE SYSTEMS DESIGN,2022,"SNAME 14th International Marine Design Conference, IMDC 2022",1,10.5957/IMDC-2022-268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138493911&doi=10.5957%2fIMDC-2022-268&partnerID=40&md5=9fe040efac3a4a9178926645e5590b97,"The digital twin technology platform has not yet, achieved the expected acceptance and wider implementation in the maritime industry, although theoretically, it makes a lot of sense in advancing vessels' life cycle control and performance monitoring. There could be many reasons behind such a reluctance to take new technology into full use. It is argued by this article, that too complex, too expensive, and too few goal-oriented real-life examples are some influential factors. The success rate of such technology development and implementation is therefore limited. Thus, the promised and expected short- and long-term benefits to be achieved from digital twin applications in relation to vessel operations and their design are still missing. It is, therefore, the purpose of this paper to present and discuss some of the reasons for this lack of success. © IMDC 2022. All right reserved.",Decision-Making; Digital Twin; Digitalization; Ship design,Life cycle; Shipbuilding; Control monitoring; Decisions makings; Digitalization; Goal-oriented; Marine systems; Maritime industry; Performance-monitoring; Ship designs; Technology development; Technology platforms; Decision making,,Conference paper,Final,,Scopus,2-s2.0-85138493911
"Ahmadi, A; Bigdeli, A; Baktashmotlagh, M; Lovell, BC","Ahmadi, Amin; Bigdeli, Abbas; Baktashmotlagh, Mahsa; Lovell, Brian C.",,A Wireless Mesh Sensor Network for Hazard and Safety Monitoring At the Port of Brisbane,,37TH ANNUAL IEEE CONFERENCE ON LOCAL COMPUTER NETWORKS (LCN 2012),13,88,View Full Record in Web of Science,"A wireless sensor network (WSN) was designed and implemented to provide reliable long-term hazard monitoring at the Port of Brisbane, Australia. The proposed system consists of four sensor nodes, a wireless gateway and a central monitoring computer. The sensor nodes are capable of measuring a range of hazardous events along with the time and location of events in maritime environment. Each sensor node is also equipped with a Global Positioning System (GPS) module and a ZigBee module. The monitoring server is a personal computer application server with Internet connectivity. Sensor nodes utilize smart algorithm to save energy and AES-128 encryption to encode data prior to sending the data packet through the wireless ZigBee protocol to gateway. The gateway collects and decrypts the data packets and forwards them to the monitoring computer through wireless connection. A database server running on the monitoring computer stores the captured data for visualization and further analysis. The monitoring server is interfaced to Google Maps to overlay real-time data from the sensor nodes onto map in the correct corresponding locations. The WSN system was successfully deployed and tested at the Port of Brisbane, Queensland, Australia.",component; Wireless Sensor Network (WSN); hazard monitoring; microcontroller systems; Internet connectivity,REMOTE,,Conference paper,,,,
Ahonen T.; Kortelainen H.; Rantala A.,"Ahonen, Toni (23984272000); Kortelainen, Helena (6602973767); Rantala, Antti (57218918777)",23984272000; 6602973767; 57218918777,Towards digitalized and automated work processes in port environments,2020,VEHITS 2020 - Proceedings of the 6th International Conference on Vehicle Technology and Intelligent Transport Systems,2,107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090759884&partnerID=40&md5=a4faf627e7f626a2058be5df607027f5,"Requirements for safety and productivity in container terminal processes are the key drivers for automation and digitalized processes. While automation development has so far been focused on large terminal environments and introduction of smart port concepts and utilization of digital technologies are to large extent limited to megaports and forerunners, there is an increasing interest in implementing automation and digitalization at smaller ports in profitable manner. Current paper discusses the enablers and barriers of automation and digital services at such ports, presents a framework for customer value in the contexts and outlines focal development targets. © 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved",Automation; Container Terminal; Digitalization; Port,Intelligent systems; Intelligent vehicle highway systems; Traffic control; Container terminal; Customer values; Development targets; Digital services; Digital technologies; Work process; Automation,Business Finland; Business Finland,Conference paper,Final,,Scopus,2-s2.0-85090759884
"Aksentijevic, S; Tijan, E; Kapidani, N; Zgaljic, D","Aksentijevic, Sasa; Tijan, Edvard; Kapidani, Nexhat; Zgaljic, Drazen",,Dynamic Smart Numbering of Modular Cargo Containers,2022,SUSTAINABILITY,35,10.3390/su14148548,View Full Record in Web of Science,"In this paper, the authors identify the existence of container imbalance that occurs in different types of ports, depending on the type of inbound and outbound cargo they serve. The authors further analyze international trade realities and maritime companies' requirements and identified inefficiencies. A comprehensive review of the relevant container regulations and identification standards is performed. Based on their findings, a paradigm change is proposed in the form of a modular container solution that uses disruptive digital technologies to ensure dynamic container identification (numbering) that can be exploited to overcome such inefficiencies. The technical requirements for coupling and decoupling operations are identified, along with detailed analysis of the requirements for embedded electronic components. Considering the strict container data exchange rules, the required changes in global container tracking systems are identified and explained. Coupling, decoupling, and serial number assignment procedures are proposed along with analysis of the measured lead times. Modularization and dynamic smart numbering are identified as viable disruptive technologies to address the global container imbalance. The authors contribute to the existing research on maritime transport sustainability by proposing a modular container solution, exploiting disruptive digital technologies, and clearly defining the prerequisites for the global introduction of the solution as a part of the digital transformation portfolio of involved stakeholders managing global container movements.",container imbalance; modular containers; digitalization; electronic ink; shipping,,European Union's Horizon 2020 Research and Innovation Programme [861584],Article,,,,
